Mass,Relative%,Description
154.047913,0.26%,"adduct of 4-pentenoic acid with Cl radical(add H3O+), with the error of 0.0039. decarboxylation coupling (R-R') product of glycine and alpha-ketoglutaric acid(add Na+); decarboxylation C-N coupling product of alpha-ketobutyric acid and glycine(add Na+); decarboxylation coupling (RCOOR') product of glycine and alpha-ketobutyric acid(add Na+); decarboxylation coupling (R-R') product of fumaric acid and serine(add Na+); hydroxyproline(add Na+), with the error of 0.0001.adduct of hypoxanthine with OH radical(add H+), with the error of 0.0021.adduct of 4-aminobenzoic acid with OH radical(self), with the error of 0.0031."
158.014665,0.01%,"adduct of 4-pentenoic acid with Cl radical(add Na+), with the error of 0.0037. "
153.060525,0.36%,"adduct of 4-pentenoic acid with Cl radical(add NH4+); adduct of betaine with Cl radical(add H+); adduct of valine with Cl radical(add H+), with the error of 0.0045. decarboxylation coupling (R-R') product of pyruvic acid and asparagine(add Na+); decarboxylation coupling (R-R') product of glyoxylic acid and glutamine(add Na+), with the error of 0.0025.adduct of adenine with OH radical(add H+); adduct of malonic acid with CH3O radical(add NH4+); guanine de-NH2 product(add NH4+), with the error of 0.0045."
169.151224,0.02%,"adduct of 4-pentenoic acid with NO radical(add K+); glutamine de-NH2 product(add K+), with the error of 0.0032. "
153.041085,0.01%,"adduct of 4-pentenoic acid with NO radical(add Na+); hydroxyproline -H +2Na product(self); glutamine de-NH2 product(add Na+), with the error of 0.0011. adduct of hypoxanthine with OH radical(self), with the error of 0.0009.malic acid(add H3O+); oxaloacetic acid reductive hydrogenation product(add H3O+); fumaric acid add H2O(add H3O+), with the error of 0.0039."
130.050332,4.91%,"adduct of 4-pentenoic acid with NO radical(self); glutamine de-NH2 product(self), with the error of 0.0003. "
117.054816,0.07%,"adduct of 4-pentenoic acid with OH radical(self); 4-pentenoic acid add 1 oxygen(add H+); decarboxylation coupling (R-R') product of 3-hydroxypropionic acid and fumaric acid(add H+); decarboxylation coupling (R-R') product of alpha-ketobutyric acid and malonic acid(add H+), with the error of 0.0002. adduct of alpha-ketobutyric acid with CH3 radical(self), with the error of 0.0012."
78.997196,0.01%,"adduct of acetaldehyde with Cl radical(self), with the error of 0.0022. "
80.049575,0.02%,"adduct of acetaldehyde with OH radical(add H3O+), with the error of 0.0024. "
61.028399,0.20%,"adduct of acetaldehyde with OH radical(self); decarboxylation product of malonic acid(add H+), with the error of 0.0006. "
73.06487,0.14%,"adduct of acetone with CH3 radical(self), with the error of 0.0011. "
156.042812,0.17%,"adduct of alpha-ketobutyric acid with CH3O radical(add Na+), with the error of 0.0018. decarboxylation coupling (R-R') product of fumaric acid and itaconic acid(self), with the error of 0.0008.adduct of o-phosphorylethanolamine with CH3 radical(self), with the error of 0.0002.decarboxylation coupling (R-R') product of glyoxylic acid and methionine(add Na+), with the error of 0.0022.decarboxylation coupling (R-R') product of alpha-ketobutyric acid and cysteine(add Na+), with the error of 0.0032."
151.055626,0.01%,"adduct of alpha-ketobutyric acid with NO radical(add H3O+), with the error of 0.0026. decarboxylation coupling (RCOOR') product of glycine and cysteine(add H+); decarboxylation C-N coupling product of cysteine and glycine(add H+); decarboxylation C-N coupling product of glycine and cysteine(add H+), with the error of 0.0016."
178.053582,0.03%,"adduct of alpha-ketoglutaric acid with CH3O radical(add H+), with the error of 0.0046. decarboxylation coupling (RCOOR') product of glyoxylic acid and methionine(add H+); decarboxylation C-N coupling product of glyoxylic acid and methionine(add H+); decarboxylation coupling (R-R') product of malonic acid and n-acetyl cysteine(add H+), with the error of 0.0006.adduct of n-acetyl cysteine with CH3 radical(self); decarboxylation coupling (RCOOR') product of alpha-ketobutyric acid and cysteine(add H+); decarboxylation coupling (R-R') product of alpha-ketoglutaric acid and cysteine(add H+); decarboxylation C-N coupling product of alpha-ketobutyric acid and cysteine(add H+), with the error of 0.0004."
363.099562,0.05%,"adduct of amp with CH3 radical(add H+), with the error of 0.0046. adduct of n-acetyl neuraminic acid with Cl radical(add H3O+), with the error of 0.0016.decarboxylation C-N coupling product of cystine and guanine(add NH4+), with the error of 0.0024."
362.086442,0.20%,"adduct of amp with CH3 radical(self), with the error of 0.0006. "
401.054472,0.01%,"adduct of amp with Cl radical(add H3O+), with the error of 0.0005. "
405.026453,0.01%,"adduct of amp with Cl radical(add Na+), with the error of 0.0045. "
395.100154,0.01%,"adduct of amp with NO radical(add NH4+), with the error of 0.0042. decarboxylation coupling (RCOOR') product of glutathione and malic acid(self); decarboxylation C-N coupling product of malic acid and glutathione(self), with the error of 0.0002."
365.069957,0.47%,"adduct of amp with OH radical(add H+); gmp de-NH2 product(add NH4+), with the error of 0.004. "
387.052771,0.13%,"adduct of amp with OH radical(add Na+), with the error of 0.0032. "
364.066415,3.96%,"adduct of amp with OH radical(self); gmp(add H+), with the error of 0.0004. "
244.232655,0.12%,"adduct of arginine with CH3O radical(add K+), with the error of 0.0037. decarboxylation coupling (R-R') product of arginine and cysteine(add K+), with the error of 0.0013."
209.15393,0.01%,"adduct of arginine with OH radical(add NH4+), with the error of 0.0039. adduct of serotonin with CH3 radical(add NH4+); decarboxylation C-N coupling product of valine and threonine(add H3O+); decarboxylation C-N coupling product of threonine and valine(add H3O+); decarboxylation coupling (RCOOR') product of threonine and valine(add H3O+), with the error of 0.0001.decarboxylation C-N coupling product of 3-hydroxypropionic acid and lysine(add H3O+); decarboxylation coupling (RCOOR') product of 4-pentenoic acid and fumaric acid(add K+); decarboxylation coupling (RCOOR') product of lysine and 3-hydroxypropionic acid(add H3O+); decarboxylation C-N coupling product of leucine and serine(add H3O+); decarboxylation coupling (R-R') product of lysine and malic acid(add H3O+); decarboxylation coupling (RCOOR') product of leucine and serine(add H3O+); decarboxylation C-N coupling product of serine and leucine(add H3O+), with the error of 0.0011.decarboxylation coupling (R-R') product of itaconic acid and itaconic acid(add K+), with the error of 0.0021."
210.082873,0.04%,"adduct of ascorbic acid with CH3 radical(add H3O+), with the error of 0.0039. decarboxylation coupling (R-R') product of 4-aminobenzoic acid and n-acetyl cysteine(self), with the error of 0.0009.decarboxylation C-N coupling product of pyruvic acid and methionine(add H3O+); decarboxylation coupling (R-R') product of oxaloacetic acid and methionine(add H3O+); decarboxylation coupling (RCOOR') product of pyruvic acid and methionine(add H3O+), with the error of 0.0011.adduct of glucosamine with NO radical(add H+); adduct of galactosamine with NO radical(add H+), with the error of 0.0021.decarboxylation C-N coupling product of serine and guanine(self), with the error of 0.0031."
207.050988,0.09%,"adduct of ascorbic acid with CH3O radical(self), with the error of 0.0. decarboxylation coupling (RCOOR') product of 4-aminobenzoic acid and fumaric acid(self); decarboxylation C-N coupling product of fumaric acid and 4-aminobenzoic acid(self), with the error of 0.002.decarboxylation coupling (RCOOR') product of itaconic acid and malonic acid(add H3O+); decarboxylation coupling (RCOOR') product of alpha-ketobutyric acid and oxaloacetic acid(add H3O+); decarboxylation coupling (RCOOR') product of alpha-ketoglutaric acid and pyruvic acid(add H3O+); decarboxylation coupling (R-R') product of alpha-ketoglutaric acid and oxaloacetic acid(add H3O+), with the error of 0.004."
211.00294,0.01%,"adduct of ascorbic acid with Cl radical(self), with the error of 0.0019. "
212.061771,0.03%,"adduct of ascorbic acid with OH radical(add H3O+), with the error of 0.0038. reductive amination product of taurine and alpha-ketobutyric acid(add H+), with the error of 0.0018.decarboxylation C-N coupling product of cysteine and 4-aminobenzoic acid(self); decarboxylation coupling (RCOOR') product of 4-aminobenzoic acid and cysteine(self); decarboxylation C-N coupling product of 4-aminobenzoic acid and cysteine(self), with the error of 0.0002.reductive amination product of cysteine and pyruvic acid(add H3O+), with the error of 0.0022."
164.080638,0.06%,"adduct of asparagine with CH3O radical(add H+); decarboxylation C-N coupling product of serine and serine(self); decarboxylation coupling (RCOOR') product of serine and serine(self); adduct of glutamine with OH radical(add H+); decarboxylation C-N coupling product of glycine and adenine(self), with the error of 0.0006. adduct of histamine with Cl radical(add NH4+); adduct of proline with NO radical(add H3O+), with the error of 0.0034.decarboxylation coupling (R-R') product of asparagine and cysteine(add H+); decarboxylation C-N coupling product of methionine and urea(add H+), with the error of 0.0044."
163.073328,0.02%,"adduct of asparagine with CH3O radical(self); adduct of glutamine with OH radical(self); decarboxylation C-N coupling product of fumaric acid and glycine(add NH4+); decarboxylation coupling (RCOOR') product of glycine and fumaric acid(add NH4+), with the error of 0.0013. decarboxylation coupling (R-R') product of 4-pentenoic acid and itaconic acid(add Na+), with the error of 0.0003.decarboxylation C-N coupling product of itaconic acid and urea(add H3O+), with the error of 0.0027.decarboxylation C-N coupling product of methionine and urea(self); decarboxylation coupling (R-R') product of asparagine and cysteine(self), with the error of 0.0037."
163.076001,0.08%,"adduct of asparagine with CH3O radical(self); adduct of glutamine with OH radical(self); decarboxylation C-N coupling product of fumaric acid and glycine(add NH4+); decarboxylation coupling (RCOOR') product of glycine and fumaric acid(add NH4+), with the error of 0.004. decarboxylation coupling (R-R') product of 4-pentenoic acid and itaconic acid(add Na+), with the error of 0.003.decarboxylation C-N coupling product of itaconic acid and urea(add H3O+), with the error of 0.0.decarboxylation C-N coupling product of methionine and urea(self); decarboxylation coupling (R-R') product of asparagine and cysteine(self), with the error of 0.001."
167.021997,0.01%,"adduct of asparagine with Cl radical(self), with the error of 0.0. fumaric acid add 2 oxygens(add H3O+), with the error of 0.002.decarboxylation C-N coupling product of pyruvic acid and taurine(self), with the error of 0.003."
163.061748,0.01%,"adduct of asparagine with NO radical(add H+); decarboxylation C-N coupling product of glycine and cytosine(add Na+), with the error of 0.0027. inositol de-OH product(self); galactosamine de-NH2 product(self); glucosamine de-NH2 product(self); galactose de-OH product(self); glucose de-OH product(self), with the error of 0.0017.decarboxylation coupling (R-R') product of 4-aminobenzoic acid and fumaric acid(self), with the error of 0.0013.decarboxylation coupling (R-R') product of alpha-ketoglutaric acid and pyruvic acid(add H3O+); decarboxylation coupling (R-R') product of itaconic acid and malonic acid(add H3O+); decarboxylation coupling (RCOOR') product of alpha-ketobutyric acid and pyruvic acid(add H3O+); decarboxylation coupling (R-R') product of alpha-ketobutyric acid and oxaloacetic acid(add H3O+), with the error of 0.0033.decarboxylation coupling (R-R') product of 3-hydroxypropionic acid and n-acetyl cysteine(self); decarboxylation coupling (R-R') product of malonic acid and methionine(self), with the error of 0.0043."
185.042338,0.18%,"adduct of asparagine with NO radical(add Na+), with the error of 0.0013. decarboxylation C-N coupling product of 3-hydroxypropionic acid and o-phosphorylethanolamine(self), with the error of 0.0027."
180.087371,4.27%,"adduct of asparagine with NO radical(add NH4+), with the error of 0.0014. galactosamine(add H+); glucosamine(add H+), with the error of 0.0004.decarboxylation C-N coupling product of 3-hydroxypropionic acid and adenine(add H+), with the error of 0.0006.decarboxylation coupling (RCOOR') product of pyruvic acid and threonine(add H3O+); decarboxylation coupling (R-R') product of oxaloacetic acid and threonine(add H3O+); decarboxylation C-N coupling product of pyruvic acid and threonine(add H3O+), with the error of 0.0036.decarboxylation coupling (RCOOR') product of alpha-ketobutyric acid and serine(add H3O+); decarboxylation coupling (R-R') product of alpha-ketoglutaric acid and serine(add H3O+); decarboxylation C-N coupling product of alpha-ketobutyric acid and serine(add H3O+); reductive amination product of glycine and alpha-ketobutyric acid(add H3O+), with the error of 0.0046."
149.060274,0.09%,"adduct of asparagine with OH radical(self); decarboxylation C-N coupling product of malic acid and urea(add H+); adduct of threonine with NO radical(self), with the error of 0.0043. decarboxylation coupling (R-R') product of 4-pentenoic acid and fumaric acid(add Na+); adduct of cytosine with CH3 radical(add Na+), with the error of 0.0033.phenylalanine de-NH2 product(self); decarboxylation C-N coupling product of fumaric acid and urea(add H3O+), with the error of 0.0003."
555.026512,0.01%,"adduct of atp with NO radical(add NH4+), with the error of 0.0025. "
201.102748,0.09%,"adduct of carnitine with OH radical(add Na+); decarboxylation coupling (RCOOR') product of glyoxylic acid and histidine(add NH4+); decarboxylation C-N coupling product of glyoxylic acid and histidine(add NH4+), with the error of 0.0047. reductive amination product of cytosine and pyruvic acid(add NH4+), with the error of 0.0037.decarboxylation C-N coupling product of itaconic acid and valine(self); decarboxylation C-N coupling product of fumaric acid and leucine(self); decarboxylation coupling (RCOOR') product of fumaric acid and leucine(self); decarboxylation coupling (RCOOR') product of itaconic acid and valine(self); decarboxylation coupling (R-R') product of 4-aminobenzoic acid and hydroxyproline(add Na+), with the error of 0.0027.reductive amination product of o-phosphorylethanolamine and acetone(add NH4+), with the error of 0.0017.adduct of oxaloacetic acid with NO radical(add K+), with the error of 0.0007.decarboxylation coupling (R-R') product of methionine and threonine(add Na+), with the error of 0.0003.adduct of phenylalanine with OH radical(add H3O+), with the error of 0.0023."
223.976049,0.06%,"adduct of citrate with Cl radical(self), with the error of 0.002. "
229.001969,0.01%,"adduct of citrate with OH radical(add Na+), with the error of 0.004. "
382.193121,0.59%,"adduct of corticosterone with Cl radical(add H+), with the error of 0.0021. "
420.276345,0.01%,"adduct of corticosterone with Cl radical(add K+), with the error of 0.0047. "
363.217986,0.11%,"adduct of corticosterone with OH radical(self); corticosterone add 1 oxygen(add H+), with the error of 0.001. "
155.068426,0.14%,"adduct of cysteine with CH3 radical(add H3O+), with the error of 0.0014. decarboxylation C-N coupling product of 3-hydroxypropionic acid and cytosine(self); histidine(self), with the error of 0.0006."
155.070905,0.29%,"adduct of cysteine with CH3 radical(add H3O+), with the error of 0.0039. decarboxylation C-N coupling product of 3-hydroxypropionic acid and cytosine(self); histidine(self), with the error of 0.0019."
151.021083,0.00%,"adduct of cysteine with NO radical(self), with the error of 0.0031. adduct of malic acid with OH radical(self), with the error of 0.0039."
157.047457,0.01%,"adduct of cysteine with OH radical(add H3O+), with the error of 0.0015. decarboxylation coupling (RCOOR') product of 3-hydroxypropionic acid and 3-hydroxypropionic acid(add Na+); decarboxylation coupling (R-R') product of 3-hydroxypropionic acid and malic acid(add Na+), with the error of 0.0005.decarboxylation coupling (R-R') product of fumaric acid and itaconic acid(add H+), with the error of 0.0025.adduct of o-phosphorylethanolamine with CH3 radical(add H+), with the error of 0.0035."
177.12368,0.10%,"adduct of cysteine with OH radical(add K+), with the error of 0.0027. decarboxylation coupling (R-R') product of oxaloacetic acid and valine(add NH4+); decarboxylation C-N coupling product of 3-hydroxypropionic acid and ornithine(add H+); decarboxylation C-N coupling product of glyoxylic acid and leucine(add NH4+); decarboxylation coupling (R-R') product of ornithine and malic acid(add H+); decarboxylation coupling (R-R') product of itaconic acid and threonine(add NH4+); decarboxylation coupling (RCOOR') product of 4-pentenoic acid and serine(add NH4+); decarboxylation C-N coupling product of 4-pentenoic acid and serine(add NH4+); decarboxylation C-N coupling product of serine and valine(add H+); decarboxylation coupling (RCOOR') product of 3-hydroxypropionic acid and proline(add NH4+); decarboxylation coupling (RCOOR') product of glyoxylic acid and leucine(add NH4+); decarboxylation coupling (RCOOR') product of ornithine and 3-hydroxypropionic acid(add H+); decarboxylation coupling (R-R') product of malic acid and proline(add NH4+); decarboxylation C-N coupling product of valine and serine(add H+); decarboxylation coupling (RCOOR') product of serine and valine(add H+); decarboxylation C-N coupling product of pyruvic acid and valine(add NH4+); decarboxylation coupling (RCOOR') product of pyruvic acid and valine(add NH4+), with the error of 0.0003.adduct of lysine with CH3O radical(self), with the error of 0.0013.decarboxylation coupling (R-R') product of ornithine and fumaric acid(add H3O+); decarboxylation coupling (R-R') product of alpha-ketobutyric acid and glutamine(add H3O+), with the error of 0.0043."
273.085551,0.06%,"adduct of cystine with CH3 radical(add NH4+), with the error of 0.0026. adduct of cytidine with NO radical(self), with the error of 0.0016."
276.001656,0.00%,"adduct of cystine with Cl radical(add H+), with the error of 0.0007. "
289.041503,0.01%,"adduct of cystine with NO radical(add H3O+), with the error of 0.0035. "
293.008822,0.01%,"adduct of cystine with NO radical(add Na+), with the error of 0.0032. "
281.10172,0.01%,"adduct of cytidine with CH3 radical(add Na+), with the error of 0.0017. reductive amination product of glutamine and oxaloacetic acid(add H3O+); reductive amination product of asparagine and alpha-ketoglutaric acid(add H3O+), with the error of 0.0013.decarboxylation coupling (RCOOR') product of histidine and methionine(add Na+); decarboxylation C-N coupling product of methionine and histidine(add Na+); decarboxylation C-N coupling product of histidine and methionine(add Na+), with the error of 0.0023."
292.139628,0.14%,"adduct of cytidine with CH3O radical(add NH4+), with the error of 0.0004. decarboxylation C-N coupling product of n-acetyl cysteine and arginine(add H+); decarboxylation coupling (RCOOR') product of arginine and n-acetyl cysteine(add H+), with the error of 0.0044."
301.042162,0.03%,"adduct of cytidine with Cl radical(add Na+), with the error of 0.0028. "
296.074118,0.02%,"adduct of cytidine with NO radical(add Na+), with the error of 0.0001. "
261.096273,0.02%,"adduct of cytidine with OH radical(add H+), with the error of 0.0007. decarboxylation C-N coupling product of phenylalanine and o-phosphorylethanolamine(add H+), with the error of 0.0037."
127.075663,0.07%,"adduct of cytosine with CH3 radical(add H+); decarboxylation coupling (R-R') product of 4-pentenoic acid and fumaric acid(add H+), with the error of 0.0007. "
164.029849,0.00%,"adduct of cytosine with NO radical(add Na+), with the error of 0.0012. adduct of oxaloacetic acid with CH3O radical(add H+); adduct of alpha-ketoglutaric acid with OH radical(add H+), with the error of 0.0032."
147.072528,0.01%,"adduct of cytosine with OH radical(add H3O+); decarboxylation coupling (RCOOR') product of glyoxylic acid and 4-pentenoic acid(add H3O+), with the error of 0.0035. decarboxylation coupling (R-R') product of alpha-ketobutyric acid and fumaric acid(add H3O+); decarboxylation coupling (R-R') product of pyruvic acid and itaconic acid(add H3O+), with the error of 0.0025.decarboxylation coupling (R-R') product of pyruvic acid and methionine(self), with the error of 0.0015.decarboxylation coupling (R-R') product of asparagine and malonic acid(add H+), with the error of 0.0035.adduct of valine with NO radical(self); glutamine(add H+); adduct of betaine with NO radical(self); reductive amination product of urea and alpha-ketobutyric acid(add H+); adduct of asparagine with CH3 radical(self), with the error of 0.0045."
203.12417,0.36%,"adduct of dopamine with CH3O radical(add H3O+), with the error of 0.0032. decarboxylation coupling (R-R') product of 4-aminobenzoic acid and 4-aminobenzoic acid(add H3O+), with the error of 0.0012.decarboxylation C-N coupling product of asparagine and valine(self); decarboxylation coupling (RCOOR') product of asparagine and valine(self); decarboxylation coupling (R-R') product of histidine and proline(add Na+); decarboxylation C-N coupling product of valine and asparagine(self), with the error of 0.0018.decarboxylation C-N coupling product of proline and histamine(add Na+), with the error of 0.0028.decarboxylation coupling (RCOOR') product of pyruvic acid and 6-hydroxyoctanoic acid(add H+); decarboxylation coupling (R-R') product of oxaloacetic acid and 6-hydroxyoctanoic acid(add H+), with the error of 0.0038.decarboxylation coupling (R-R') product of 4-aminobenzoic acid and histidine(add H+), with the error of 0.0048."
474.200545,0.01%,"adduct of folic acid with CH3 radical(add NH4+), with the error of 0.0015. "
490.196978,0.04%,"adduct of folic acid with CH3O radical(add NH4+), with the error of 0.003. decarboxylation coupling (R-R') product of folic acid and cysteine(add NH4+), with the error of 0.002."
515.211706,0.03%,"adduct of folic acid with Cl radical(add K+), with the error of 0.0047. "
459.151258,0.01%,"adduct of folic acid with OH radical(add H+), with the error of 0.0003. "
150.982187,0.12%,"adduct of fumaric acid with Cl radical(self), with the error of 0.0022. "
217.097852,1.05%,"adduct of galactosamine with CH3 radical(add Na+); adduct of glucosamine with CH3 radical(add Na+), with the error of 0.0049. decarboxylation C-N coupling product of malic acid and cytosine(add NH4+), with the error of 0.0039.decarboxylation C-N coupling product of glycine and phenylalanine(add Na+); decarboxylation C-N coupling product of phenylalanine and glycine(add Na+); decarboxylation C-N coupling product of oxaloacetic acid and leucine(self); decarboxylation C-N coupling product of alpha-ketoglutaric acid and valine(self); decarboxylation coupling (RCOOR') product of oxaloacetic acid and leucine(self); decarboxylation coupling (RCOOR') product of glycine and phenylalanine(add Na+); decarboxylation coupling (RCOOR') product of alpha-ketoglutaric acid and valine(self), with the error of 0.0029.serotonin add H2O(add Na+), with the error of 0.0019.adduct of tyrosine with OH radical(add H3O+), with the error of 0.0021."
233.092833,0.34%,"adduct of glucosamine with CH3O radical(add Na+); adduct of galactosamine with CH3O radical(add Na+), with the error of 0.0048. decarboxylation C-N coupling product of threonine and 4-aminobenzoic acid(add Na+); decarboxylation C-N coupling product of glycine and tyrosine(add Na+); decarboxylation coupling (RCOOR') product of glycine and tyrosine(add Na+); decarboxylation C-N coupling product of tyrosine and glycine(add Na+); decarboxylation coupling (RCOOR') product of 4-aminobenzoic acid and threonine(add Na+); decarboxylation C-N coupling product of 4-aminobenzoic acid and threonine(add Na+); reductive amination product of valine and oxaloacetic acid(self), with the error of 0.0028.decarboxylation C-N coupling product of glyoxylic acid and tryptophan(add H+); decarboxylation coupling (RCOOR') product of glyoxylic acid and tryptophan(add H+), with the error of 0.0008.decarboxylation C-N coupling product of threonine and o-phosphorylethanolamine(add H3O+); decarboxylation C-N coupling product of leucine and taurine(add Na+), with the error of 0.0012.decarboxylation coupling (RCOOR') product of n-acetyl cysteine and proline(add H+), with the error of 0.0022."
218.081659,0.08%,"adduct of glucose with CH3 radical(add Na+); adduct of galactose with CH3 radical(add Na+); adduct of inositol with CH3 radical(add Na+), with the error of 0.0047. decarboxylation C-N coupling product of pyruvic acid and dopamine(add Na+); decarboxylation coupling (R-R') product of malonic acid and tyrosine(add Na+), with the error of 0.0027.decarboxylation C-N coupling product of malic acid and cytosine(add H3O+), with the error of 0.0003.adduct of phenylalanine with Cl radical(add NH4+), with the error of 0.0013.decarboxylation coupling (RCOOR') product of 4-pentenoic acid and n-acetyl cysteine(add H+), with the error of 0.0023."
229.120615,0.08%,"adduct of glucose with CH3O radical(add NH4+); adduct of inositol with CH3O radical(add NH4+); decarboxylation C-N coupling product of valine and adenine(add Na+); adduct of galactose with CH3O radical(add NH4+), with the error of 0.0036. decarboxylation C-N coupling product of malonic acid and dopamine(add NH4+), with the error of 0.0016.adduct of galactosamine with CH3O radical(add H3O+); adduct of glucosamine with CH3O radical(add H3O+), with the error of 0.0004.decarboxylation C-N coupling product of glycine and tyrosine(add H3O+); decarboxylation coupling (RCOOR') product of 4-aminobenzoic acid and threonine(add H3O+); decarboxylation C-N coupling product of 4-aminobenzoic acid and threonine(add H3O+); decarboxylation C-N coupling product of tyrosine and glycine(add H3O+); decarboxylation coupling (RCOOR') product of glycine and tyrosine(add H3O+); decarboxylation C-N coupling product of threonine and 4-aminobenzoic acid(add H3O+), with the error of 0.0024."
334.100938,0.04%,"adduct of glucose-6-phosphate with Cl radical(add K+), with the error of 0.0039. "
309.050489,0.04%,"adduct of glucose-6-phosphate with NO radical(add H3O+), with the error of 0.0005. "
277.035357,0.06%,"adduct of glucose-6-phosphate with OH radical(self), with the error of 0.0024. decarboxylation C-N coupling product of cystine and urea(add Na+), with the error of 0.0046."
176.071042,0.05%,"adduct of glutamine with NO radical(self), with the error of 0.004. dopamine(add Na+), with the error of 0.002.decarboxylation coupling (R-R') product of alpha-ketobutyric acid and n-acetyl cysteine(add H+); decarboxylation C-N coupling product of 4-pentenoic acid and cysteine(add H+); decarboxylation coupling (RCOOR') product of 4-pentenoic acid and cysteine(add H+); decarboxylation coupling (R-R') product of fumaric acid and methionine(add H+), with the error of 0.003."
323.119452,0.01%,"adduct of glutathione with CH3 radical(add H+), with the error of 0.0035. decarboxylation C-N coupling product of malonic acid and thiamine(self), with the error of 0.0025.decarboxylation coupling (R-R') product of malonic acid and n-acetyl neuraminic acid(self), with the error of 0.0015."
361.202335,0.04%,"adduct of glutathione with CH3 radical(add K+), with the error of 0.0037. "
356.140386,0.15%,"adduct of glutathione with CH3O radical(add NH4+), with the error of 0.0024. decarboxylation coupling (R-R') product of glutathione and cysteine(add NH4+), with the error of 0.0026.decarboxylation C-N coupling product of threonine and guanosine(self), with the error of 0.0036."
338.107604,0.02%,"adduct of glutathione with CH3O radical(self), with the error of 0.0046. decarboxylation coupling (R-R') product of glutathione and cysteine(self); decarboxylation coupling (RCOOR') product of glyoxylic acid and n-acetyl neuraminic acid(add H+), with the error of 0.0004."
381.150035,0.10%,"adduct of glutathione with Cl radical(add K+), with the error of 0.001. "
365.040118,0.03%,"adduct of glutathione with Cl radical(add Na+), with the error of 0.0029. "
338.090317,0.10%,"adduct of glutathione with NO radical(add H+), with the error of 0.0003. "
376.18376,0.10%,"adduct of glutathione with NO radical(add K+), with the error of 0.0038. "
360.072882,0.06%,"adduct of glutathione with NO radical(add Na+), with the error of 0.0009. "
