Mass,Relative%,Description
153.041319,0.05%,"adduct of 4-pentenoic acid with NO radical(add Na+); hydroxyproline -H +2Na product(self); glutamine de-NH2 product(add Na+), with the error of 0.0013. adduct of hypoxanthine with OH radical(self), with the error of 0.0007.malic acid(add H3O+); oxaloacetic acid reductive hydrogenation product(add H3O+); fumaric acid add H2O(add H3O+), with the error of 0.0037."
130.05018,8.69%,"adduct of 4-pentenoic acid with NO radical(self); glutamine de-NH2 product(self), with the error of 0.0002. "
117.054946,0.11%,"adduct of 4-pentenoic acid with OH radical(self); 4-pentenoic acid add 1 oxygen(add H+); decarboxylation coupling (R-R') product of 3-hydroxypropionic acid and fumaric acid(add H+); decarboxylation coupling (R-R') product of alpha-ketobutyric acid and malonic acid(add H+), with the error of 0.0001. adduct of alpha-ketobutyric acid with CH3 radical(self), with the error of 0.0011."
80.049594,0.02%,"adduct of acetaldehyde with OH radical(add H3O+), with the error of 0.0024. "
61.028411,0.10%,"adduct of acetaldehyde with OH radical(self); decarboxylation product of malonic acid(add H+), with the error of 0.0006. "
73.064887,0.18%,"adduct of acetone with CH3 radical(self), with the error of 0.0011. "
156.042638,0.40%,"adduct of alpha-ketobutyric acid with CH3O radical(add Na+), with the error of 0.0016. decarboxylation coupling (R-R') product of fumaric acid and itaconic acid(self), with the error of 0.0006.adduct of o-phosphorylethanolamine with CH3 radical(self), with the error of 0.0004.decarboxylation coupling (R-R') product of glyoxylic acid and methionine(add Na+), with the error of 0.0024.decarboxylation coupling (R-R') product of alpha-ketobutyric acid and cysteine(add Na+), with the error of 0.0034."
151.055853,0.03%,"adduct of alpha-ketobutyric acid with NO radical(add H3O+), with the error of 0.0029. decarboxylation coupling (RCOOR') product of glycine and cysteine(add H+); decarboxylation C-N coupling product of cysteine and glycine(add H+); decarboxylation C-N coupling product of glycine and cysteine(add H+), with the error of 0.0019."
178.0539,0.16%,"adduct of alpha-ketoglutaric acid with CH3O radical(add H+), with the error of 0.0049. decarboxylation coupling (RCOOR') product of glyoxylic acid and methionine(add H+); decarboxylation C-N coupling product of glyoxylic acid and methionine(add H+); decarboxylation coupling (R-R') product of malonic acid and n-acetyl cysteine(add H+), with the error of 0.0009.adduct of n-acetyl cysteine with CH3 radical(self); decarboxylation coupling (RCOOR') product of alpha-ketobutyric acid and cysteine(add H+); decarboxylation coupling (R-R') product of alpha-ketoglutaric acid and cysteine(add H+); decarboxylation C-N coupling product of alpha-ketobutyric acid and cysteine(add H+), with the error of 0.0001."
186.019986,0.73%,"adduct of alpha-ketoglutaric acid with OH radical(add Na+); adduct of oxaloacetic acid with CH3O radical(add Na+), with the error of 0.005. decarboxylation coupling (RCOOR') product of fumaric acid and fumaric acid(self), with the error of 0.004.adduct of guanine with Cl radical(self), with the error of 0.002.decarboxylation coupling (R-R') product of oxaloacetic acid and cysteine(add Na+); decarboxylation C-N coupling product of pyruvic acid and cysteine(add Na+); n-acetyl cysteine(add Na+); decarboxylation coupling (RCOOR') product of pyruvic acid and cysteine(add Na+), with the error of 0.0."
362.086557,0.24%,"adduct of amp with CH3 radical(self), with the error of 0.0004. "
365.070066,0.21%,"adduct of amp with OH radical(add H+); gmp de-NH2 product(add NH4+), with the error of 0.0039. "
387.052836,0.07%,"adduct of amp with OH radical(add Na+), with the error of 0.0032. "
364.066526,1.73%,"adduct of amp with OH radical(self); gmp(add H+), with the error of 0.0005. "
205.134121,0.12%,"adduct of arginine with CH3O radical(self), with the error of 0.0031. decarboxylation coupling (R-R') product of 3-hydroxypropionic acid and tryptophan(add H+), with the error of 0.0001.adduct of hypoxanthine with NO radical(add K+), with the error of 0.0009.decarboxylation coupling (R-R') product of arginine and cysteine(self), with the error of 0.0019.decarboxylation coupling (R-R') product of leucine and n-acetyl cysteine(add H+), with the error of 0.0029."
209.153944,0.02%,"adduct of arginine with OH radical(add NH4+), with the error of 0.0039. adduct of serotonin with CH3 radical(add NH4+); decarboxylation C-N coupling product of valine and threonine(add H3O+); decarboxylation C-N coupling product of threonine and valine(add H3O+); decarboxylation coupling (RCOOR') product of threonine and valine(add H3O+), with the error of 0.0001.decarboxylation C-N coupling product of 3-hydroxypropionic acid and lysine(add H3O+); decarboxylation coupling (RCOOR') product of 4-pentenoic acid and fumaric acid(add K+); decarboxylation coupling (RCOOR') product of lysine and 3-hydroxypropionic acid(add H3O+); decarboxylation C-N coupling product of leucine and serine(add H3O+); decarboxylation coupling (R-R') product of lysine and malic acid(add H3O+); decarboxylation coupling (RCOOR') product of leucine and serine(add H3O+); decarboxylation C-N coupling product of serine and leucine(add H3O+), with the error of 0.0011.decarboxylation coupling (R-R') product of itaconic acid and itaconic acid(add K+), with the error of 0.0021."
207.050999,0.14%,"adduct of ascorbic acid with CH3O radical(self), with the error of 0.0. decarboxylation coupling (RCOOR') product of 4-aminobenzoic acid and fumaric acid(self); decarboxylation C-N coupling product of fumaric acid and 4-aminobenzoic acid(self), with the error of 0.002.decarboxylation coupling (RCOOR') product of itaconic acid and malonic acid(add H3O+); decarboxylation coupling (RCOOR') product of alpha-ketobutyric acid and oxaloacetic acid(add H3O+); decarboxylation coupling (RCOOR') product of alpha-ketoglutaric acid and pyruvic acid(add H3O+); decarboxylation coupling (R-R') product of alpha-ketoglutaric acid and oxaloacetic acid(add H3O+), with the error of 0.004."
212.061791,0.05%,"adduct of ascorbic acid with OH radical(add H3O+), with the error of 0.0038. reductive amination product of taurine and alpha-ketobutyric acid(add H+), with the error of 0.0018.decarboxylation C-N coupling product of cysteine and 4-aminobenzoic acid(self); decarboxylation coupling (RCOOR') product of 4-aminobenzoic acid and cysteine(self); decarboxylation C-N coupling product of 4-aminobenzoic acid and cysteine(self), with the error of 0.0002.reductive amination product of cysteine and pyruvic acid(add H3O+), with the error of 0.0022."
164.080908,0.03%,"adduct of asparagine with CH3O radical(add H+); decarboxylation C-N coupling product of serine and serine(self); decarboxylation coupling (RCOOR') product of serine and serine(self); adduct of glutamine with OH radical(add H+); decarboxylation C-N coupling product of glycine and adenine(self), with the error of 0.0009. adduct of histamine with Cl radical(add NH4+); adduct of proline with NO radical(add H3O+), with the error of 0.0031.decarboxylation coupling (R-R') product of asparagine and cysteine(add H+); decarboxylation C-N coupling product of methionine and urea(add H+), with the error of 0.0041."
163.073594,0.04%,"adduct of asparagine with CH3O radical(self); adduct of glutamine with OH radical(self); decarboxylation C-N coupling product of fumaric acid and glycine(add NH4+); decarboxylation coupling (RCOOR') product of glycine and fumaric acid(add NH4+), with the error of 0.0016. decarboxylation coupling (R-R') product of 4-pentenoic acid and itaconic acid(add Na+), with the error of 0.0006.decarboxylation C-N coupling product of itaconic acid and urea(add H3O+), with the error of 0.0024.decarboxylation C-N coupling product of methionine and urea(self); decarboxylation coupling (R-R') product of asparagine and cysteine(self), with the error of 0.0034."
163.075822,0.06%,"adduct of asparagine with CH3O radical(self); adduct of glutamine with OH radical(self); decarboxylation C-N coupling product of fumaric acid and glycine(add NH4+); decarboxylation coupling (RCOOR') product of glycine and fumaric acid(add NH4+), with the error of 0.0038. decarboxylation coupling (R-R') product of 4-pentenoic acid and itaconic acid(add Na+), with the error of 0.0028.decarboxylation C-N coupling product of itaconic acid and urea(add H3O+), with the error of 0.0002.decarboxylation C-N coupling product of methionine and urea(self); decarboxylation coupling (R-R') product of asparagine and cysteine(self), with the error of 0.0012."
167.022277,0.03%,"adduct of asparagine with Cl radical(self), with the error of 0.0003. fumaric acid add 2 oxygens(add H3O+), with the error of 0.0017.decarboxylation C-N coupling product of pyruvic acid and taurine(self), with the error of 0.0027."
163.060678,0.05%,"adduct of asparagine with NO radical(add H+); decarboxylation C-N coupling product of glycine and cytosine(add Na+), with the error of 0.0017. inositol de-OH product(self); galactosamine de-NH2 product(self); glucosamine de-NH2 product(self); galactose de-OH product(self); glucose de-OH product(self), with the error of 0.0007.decarboxylation coupling (R-R') product of 4-aminobenzoic acid and fumaric acid(self), with the error of 0.0023.decarboxylation coupling (R-R') product of alpha-ketoglutaric acid and pyruvic acid(add H3O+); decarboxylation coupling (R-R') product of itaconic acid and malonic acid(add H3O+); decarboxylation coupling (RCOOR') product of alpha-ketobutyric acid and pyruvic acid(add H3O+); decarboxylation coupling (R-R') product of alpha-ketobutyric acid and oxaloacetic acid(add H3O+), with the error of 0.0043."
185.042681,0.38%,"adduct of asparagine with NO radical(add Na+), with the error of 0.0017. decarboxylation C-N coupling product of 3-hydroxypropionic acid and o-phosphorylethanolamine(self), with the error of 0.0023."
180.087179,2.71%,"adduct of asparagine with NO radical(add NH4+), with the error of 0.0012. galactosamine(add H+); glucosamine(add H+), with the error of 0.0002.decarboxylation C-N coupling product of 3-hydroxypropionic acid and adenine(add H+), with the error of 0.0008.decarboxylation coupling (RCOOR') product of pyruvic acid and threonine(add H3O+); decarboxylation coupling (R-R') product of oxaloacetic acid and threonine(add H3O+); decarboxylation C-N coupling product of pyruvic acid and threonine(add H3O+), with the error of 0.0038.decarboxylation coupling (RCOOR') product of alpha-ketobutyric acid and serine(add H3O+); decarboxylation coupling (R-R') product of alpha-ketoglutaric acid and serine(add H3O+); decarboxylation C-N coupling product of alpha-ketobutyric acid and serine(add H3O+); reductive amination product of glycine and alpha-ketobutyric acid(add H3O+), with the error of 0.0048."
149.060106,0.15%,"adduct of asparagine with OH radical(self); decarboxylation C-N coupling product of malic acid and urea(add H+); adduct of threonine with NO radical(self), with the error of 0.0041. decarboxylation coupling (R-R') product of 4-pentenoic acid and fumaric acid(add Na+); adduct of cytosine with CH3 radical(add Na+), with the error of 0.0031.phenylalanine de-NH2 product(self); decarboxylation C-N coupling product of fumaric acid and urea(add H3O+), with the error of 0.0001."
201.10275,0.23%,"adduct of carnitine with OH radical(add Na+); decarboxylation coupling (RCOOR') product of glyoxylic acid and histidine(add NH4+); decarboxylation C-N coupling product of glyoxylic acid and histidine(add NH4+), with the error of 0.0047. reductive amination product of cytosine and pyruvic acid(add NH4+), with the error of 0.0037.decarboxylation C-N coupling product of itaconic acid and valine(self); decarboxylation C-N coupling product of fumaric acid and leucine(self); decarboxylation coupling (RCOOR') product of fumaric acid and leucine(self); decarboxylation coupling (RCOOR') product of itaconic acid and valine(self); decarboxylation coupling (R-R') product of 4-aminobenzoic acid and hydroxyproline(add Na+), with the error of 0.0027.reductive amination product of o-phosphorylethanolamine and acetone(add NH4+), with the error of 0.0017.adduct of oxaloacetic acid with NO radical(add K+), with the error of 0.0007.decarboxylation coupling (R-R') product of methionine and threonine(add Na+), with the error of 0.0003.adduct of phenylalanine with OH radical(add H3O+), with the error of 0.0023."
223.97609,0.11%,"adduct of citrate with Cl radical(self), with the error of 0.0021. "
382.193196,0.05%,"adduct of corticosterone with Cl radical(add H+), with the error of 0.0022. "
363.218099,0.28%,"adduct of corticosterone with OH radical(self); corticosterone add 1 oxygen(add H+), with the error of 0.0011. "
155.068253,0.40%,"adduct of cysteine with CH3 radical(add H3O+), with the error of 0.0013. decarboxylation C-N coupling product of 3-hydroxypropionic acid and cytosine(self); histidine(self), with the error of 0.0007."
171.063481,0.06%,"adduct of cysteine with CH3O radical(add H3O+), with the error of 0.0015. decarboxylation coupling (RCOOR') product of 4-pentenoic acid and fumaric acid(add H+), with the error of 0.0015.decarboxylation coupling (R-R') product of itaconic acid and itaconic acid(add H+), with the error of 0.0025.decarboxylation coupling (R-R') product of cysteine and cysteine(add H3O+), with the error of 0.0035."
157.047704,0.18%,"adduct of cysteine with OH radical(add H3O+), with the error of 0.0017. decarboxylation coupling (RCOOR') product of 3-hydroxypropionic acid and 3-hydroxypropionic acid(add Na+); decarboxylation coupling (R-R') product of 3-hydroxypropionic acid and malic acid(add Na+), with the error of 0.0003.decarboxylation coupling (R-R') product of fumaric acid and itaconic acid(add H+), with the error of 0.0023.adduct of o-phosphorylethanolamine with CH3 radical(add H+), with the error of 0.0033."
177.12349,0.09%,"adduct of cysteine with OH radical(add K+), with the error of 0.0025. decarboxylation coupling (R-R') product of oxaloacetic acid and valine(add NH4+); decarboxylation C-N coupling product of 3-hydroxypropionic acid and ornithine(add H+); decarboxylation C-N coupling product of glyoxylic acid and leucine(add NH4+); decarboxylation coupling (R-R') product of ornithine and malic acid(add H+); decarboxylation coupling (R-R') product of itaconic acid and threonine(add NH4+); decarboxylation coupling (RCOOR') product of 4-pentenoic acid and serine(add NH4+); decarboxylation C-N coupling product of 4-pentenoic acid and serine(add NH4+); decarboxylation C-N coupling product of serine and valine(add H+); decarboxylation coupling (RCOOR') product of 3-hydroxypropionic acid and proline(add NH4+); decarboxylation coupling (RCOOR') product of glyoxylic acid and leucine(add NH4+); decarboxylation coupling (RCOOR') product of ornithine and 3-hydroxypropionic acid(add H+); decarboxylation coupling (R-R') product of malic acid and proline(add NH4+); decarboxylation C-N coupling product of valine and serine(add H+); decarboxylation coupling (RCOOR') product of serine and valine(add H+); decarboxylation C-N coupling product of pyruvic acid and valine(add NH4+); decarboxylation coupling (RCOOR') product of pyruvic acid and valine(add NH4+), with the error of 0.0005.adduct of lysine with CH3O radical(self), with the error of 0.0015.decarboxylation coupling (R-R') product of ornithine and fumaric acid(add H3O+); decarboxylation coupling (R-R') product of alpha-ketobutyric acid and glutamine(add H3O+), with the error of 0.0045."
273.084731,0.07%,"adduct of cystine with CH3 radical(add NH4+), with the error of 0.0017. adduct of cytidine with NO radical(self), with the error of 0.0007."
276.001808,0.02%,"adduct of cystine with Cl radical(add H+), with the error of 0.0008. "
293.010089,0.03%,"adduct of cystine with NO radical(add Na+), with the error of 0.0019. "
301.042375,0.03%,"adduct of cytidine with Cl radical(add Na+), with the error of 0.0026. "
127.07582,0.19%,"adduct of cytosine with CH3 radical(add H+); decarboxylation coupling (R-R') product of 4-pentenoic acid and fumaric acid(add H+), with the error of 0.0008. "
126.066434,0.08%,"adduct of cytosine with CH3 radical(self); decarboxylation coupling (R-R') product of 4-pentenoic acid and fumaric acid(self), with the error of 0.0006. "
128.045916,0.03%,"adduct of cytosine with OH radical(self); decarboxylation coupling (RCOOR') product of glyoxylic acid and 4-pentenoic acid(self); adduct of 3-hydroxypropionic acid with CH3 radical(add Na+), with the error of 0.0001. decarboxylation coupling (R-R') product of alpha-ketobutyric acid and fumaric acid(self); decarboxylation coupling (R-R') product of pyruvic acid and itaconic acid(self), with the error of 0.0011."
203.124175,0.38%,"adduct of dopamine with CH3O radical(add H3O+), with the error of 0.0032. decarboxylation coupling (R-R') product of 4-aminobenzoic acid and 4-aminobenzoic acid(add H3O+), with the error of 0.0012.decarboxylation C-N coupling product of asparagine and valine(self); decarboxylation coupling (RCOOR') product of asparagine and valine(self); decarboxylation coupling (R-R') product of histidine and proline(add Na+); decarboxylation C-N coupling product of valine and asparagine(self), with the error of 0.0018.decarboxylation C-N coupling product of proline and histamine(add Na+), with the error of 0.0028.decarboxylation coupling (RCOOR') product of pyruvic acid and 6-hydroxyoctanoic acid(add H+); decarboxylation coupling (R-R') product of oxaloacetic acid and 6-hydroxyoctanoic acid(add H+), with the error of 0.0038.decarboxylation coupling (R-R') product of 4-aminobenzoic acid and histidine(add H+), with the error of 0.0048."
206.081307,0.17%,"adduct of dopamine with Cl radical(add NH4+), with the error of 0.0017. decarboxylation coupling (RCOOR') product of alpha-ketobutyric acid and methionine(add H+); decarboxylation C-N coupling product of alpha-ketobutyric acid and methionine(add H+); decarboxylation coupling (R-R') product of alpha-ketoglutaric acid and methionine(add H+), with the error of 0.0037."
206.085104,0.03%,"adduct of dopamine with Cl radical(add NH4+), with the error of 0.0021. decarboxylation coupling (RCOOR') product of alpha-ketobutyric acid and methionine(add H+); decarboxylation C-N coupling product of alpha-ketobutyric acid and methionine(add H+); decarboxylation coupling (R-R') product of alpha-ketoglutaric acid and methionine(add H+), with the error of 0.0001."
154.026885,0.05%,"adduct of fumaric acid with CH3 radical(add Na+), with the error of 0.0019. adduct of threonine with Cl radical(self), with the error of 0.0001."
173.97439,6.73%,"adduct of fumaric acid with Cl radical(add Na+), with the error of 0.0044. "
217.097881,1.01%,"adduct of galactosamine with CH3 radical(add Na+); adduct of glucosamine with CH3 radical(add Na+), with the error of 0.0049. decarboxylation C-N coupling product of malic acid and cytosine(add NH4+), with the error of 0.0039.decarboxylation C-N coupling product of glycine and phenylalanine(add Na+); decarboxylation C-N coupling product of phenylalanine and glycine(add Na+); decarboxylation C-N coupling product of oxaloacetic acid and leucine(self); decarboxylation C-N coupling product of alpha-ketoglutaric acid and valine(self); decarboxylation coupling (RCOOR') product of oxaloacetic acid and leucine(self); decarboxylation coupling (RCOOR') product of glycine and phenylalanine(add Na+); decarboxylation coupling (RCOOR') product of alpha-ketoglutaric acid and valine(self), with the error of 0.0029.serotonin add H2O(add Na+), with the error of 0.0019.adduct of tyrosine with OH radical(add H3O+), with the error of 0.0021."
233.092891,0.24%,"adduct of glucosamine with CH3O radical(add Na+); adduct of galactosamine with CH3O radical(add Na+), with the error of 0.0049. decarboxylation C-N coupling product of threonine and 4-aminobenzoic acid(add Na+); decarboxylation C-N coupling product of glycine and tyrosine(add Na+); decarboxylation coupling (RCOOR') product of glycine and tyrosine(add Na+); decarboxylation C-N coupling product of tyrosine and glycine(add Na+); decarboxylation coupling (RCOOR') product of 4-aminobenzoic acid and threonine(add Na+); decarboxylation C-N coupling product of 4-aminobenzoic acid and threonine(add Na+); reductive amination product of valine and oxaloacetic acid(self), with the error of 0.0029.decarboxylation C-N coupling product of glyoxylic acid and tryptophan(add H+); decarboxylation coupling (RCOOR') product of glyoxylic acid and tryptophan(add H+), with the error of 0.0009.decarboxylation C-N coupling product of threonine and o-phosphorylethanolamine(add H3O+); decarboxylation C-N coupling product of leucine and taurine(add Na+), with the error of 0.0011.decarboxylation coupling (RCOOR') product of n-acetyl cysteine and proline(add H+), with the error of 0.0021."
218.081689,0.06%,"adduct of glucose with CH3 radical(add Na+); adduct of galactose with CH3 radical(add Na+); adduct of inositol with CH3 radical(add Na+), with the error of 0.0047. decarboxylation C-N coupling product of pyruvic acid and dopamine(add Na+); decarboxylation coupling (R-R') product of malonic acid and tyrosine(add Na+), with the error of 0.0027.decarboxylation C-N coupling product of malic acid and cytosine(add H3O+), with the error of 0.0003.adduct of phenylalanine with Cl radical(add NH4+), with the error of 0.0013.decarboxylation coupling (RCOOR') product of 4-pentenoic acid and n-acetyl cysteine(add H+), with the error of 0.0023."
229.120666,0.08%,"adduct of glucose with CH3O radical(add NH4+); adduct of inositol with CH3O radical(add NH4+); decarboxylation C-N coupling product of valine and adenine(add Na+); adduct of galactose with CH3O radical(add NH4+), with the error of 0.0037. decarboxylation C-N coupling product of malonic acid and dopamine(add NH4+), with the error of 0.0017.adduct of galactosamine with CH3O radical(add H3O+); adduct of glucosamine with CH3O radical(add H3O+), with the error of 0.0003.decarboxylation C-N coupling product of glycine and tyrosine(add H3O+); decarboxylation coupling (RCOOR') product of 4-aminobenzoic acid and threonine(add H3O+); decarboxylation C-N coupling product of 4-aminobenzoic acid and threonine(add H3O+); decarboxylation C-N coupling product of tyrosine and glycine(add H3O+); decarboxylation coupling (RCOOR') product of glycine and tyrosine(add H3O+); decarboxylation C-N coupling product of threonine and 4-aminobenzoic acid(add H3O+), with the error of 0.0023."
291.051319,0.02%,"adduct of glucose-6-phosphate with CH3O radical(self), with the error of 0.0023. "
334.101103,0.02%,"adduct of glucose-6-phosphate with Cl radical(add K+), with the error of 0.0041. "
309.050691,0.03%,"adduct of glucose-6-phosphate with NO radical(add H3O+), with the error of 0.0003. "
329.129555,0.62%,"adduct of glucose-6-phosphate with NO radical(add K+), with the error of 0.0036. decarboxylation C-N coupling product of valine and cystine(add NH4+); decarboxylation C-N coupling product of cystine and valine(add NH4+); decarboxylation coupling (RCOOR') product of cystine and valine(add NH4+), with the error of 0.0024.decarboxylation C-N coupling product of asparagine and cytidine(self), with the error of 0.0034."
300.02047,0.06%,"adduct of glucose-6-phosphate with OH radical(add Na+), with the error of 0.0025. "
277.035511,0.08%,"adduct of glucose-6-phosphate with OH radical(self), with the error of 0.0025. decarboxylation C-N coupling product of cystine and urea(add Na+), with the error of 0.0045."
176.071352,0.09%,"adduct of glutamine with NO radical(self), with the error of 0.0044. dopamine(add Na+), with the error of 0.0024.decarboxylation coupling (R-R') product of alpha-ketobutyric acid and n-acetyl cysteine(add H+); decarboxylation C-N coupling product of 4-pentenoic acid and cysteine(add H+); decarboxylation coupling (RCOOR') product of 4-pentenoic acid and cysteine(add H+); decarboxylation coupling (R-R') product of fumaric acid and methionine(add H+), with the error of 0.0026."
361.202452,0.17%,"adduct of glutathione with CH3 radical(add K+), with the error of 0.0035. "
356.140512,0.13%,"adduct of glutathione with CH3O radical(add NH4+), with the error of 0.0025. decarboxylation coupling (R-R') product of glutathione and cysteine(add NH4+), with the error of 0.0025.decarboxylation C-N coupling product of threonine and guanosine(self), with the error of 0.0035."
365.040228,0.02%,"adduct of glutathione with Cl radical(add Na+), with the error of 0.0028. "
338.090475,0.10%,"adduct of glutathione with NO radical(add H+), with the error of 0.0005. "
376.183847,0.07%,"adduct of glutathione with NO radical(add K+), with the error of 0.0038. "
360.073,0.08%,"adduct of glutathione with NO radical(add Na+), with the error of 0.001. "
343.108116,0.21%,"adduct of glutathione with OH radical(add H3O+), with the error of 0.0019. decarboxylation C-N coupling product of hydroxyproline and cystine(add NH4+); decarboxylation coupling (RCOOR') product of cystine and hydroxyproline(add NH4+), with the error of 0.0029."
113.047933,0.59%,"adduct of glycine with CH3 radical(add Na+), with the error of 0.0019. "
123.068794,0.02%,"adduct of glycine with NO radical(add NH4+), with the error of 0.0038. decarboxylation coupling (R-R') product of 3-hydroxypropionic acid and malonic acid(add H3O+), with the error of 0.0012.alpha-ketobutyric acid reductive hydrogenation product(add H3O+), with the error of 0.0022."
110.071675,0.76%,"adduct of glycine with OH radical(add NH4+), with the error of 0.0017. adduct of urea with CH3O radical(add H3O+), with the error of 0.0023."
412.077439,0.03%,"adduct of gmp with NO radical(add H3O+), with the error of 0.0016. "
204.056212,0.06%,"adduct of guanine with Cl radical(add NH4+), with the error of 0.0032. adduct of uric acid with OH radical(add H3O+), with the error of 0.0022."
181.049927,0.10%,"adduct of guanine with NO radical(self); decarboxylation coupling (RCOOR') product of 4-pentenoic acid and malonic acid(add Na+), with the error of 0.0029. decarboxylation coupling (R-R') product of alpha-ketobutyric acid and alpha-ketoglutaric acid(add Na+); decarboxylation C-N coupling product of fumaric acid and cytosine(self); decarboxylation coupling (RCOOR') product of alpha-ketobutyric acid and alpha-ketobutyric acid(add Na+), with the error of 0.0019."
321.106506,0.20%,"adduct of guanosine with CH3 radical(add Na+), with the error of 0.0005. reductive amination product of tryptophan and oxaloacetic acid(add H+), with the error of 0.0025.decarboxylation C-N coupling product of glutathione and urea(self), with the error of 0.0035."
353.210195,0.15%,"adduct of guanosine with CH3O radical(add K+), with the error of 0.0012. "
331.124619,0.02%,"adduct of guanosine with NO radical(add NH4+), with the error of 0.0004. decarboxylation C-N coupling product of fumaric acid and cytidine(add NH4+), with the error of 0.0014."
301.106068,0.03%,"adduct of guanosine with OH radical(add H+), with the error of 0.0031. decarboxylation coupling (R-R') product of asparagine and cystine(add H3O+), with the error of 0.0021."
127.112291,0.13%,"adduct of histamine with CH3 radical(add H+), with the error of 0.0003. decarboxylation coupling (R-R') product of glyoxylic acid and malonic acid(add K+), with the error of 0.0007.pyruvic acid(add K+); decarboxylation product of oxaloacetic acid(add K+), with the error of 0.0017."
126.103076,0.04%,"adduct of histamine with CH3 radical(self), with the error of 0.0009. "
143.106972,0.17%,"adduct of histamine with CH3O radical(add H+); 6-hydroxyoctanoic acid de-OH product(self), with the error of 0.0. malonic acid(add K+), with the error of 0.002."
147.06168,1.36%,"adduct of histamine with Cl radical(add H+), with the error of 0.0047. adduct of uracil with OH radical(add NH4+), with the error of 0.0033.decarboxylation coupling (R-R') product of alpha-ketoglutaric acid and 3-hydroxypropionic acid(add H+); decarboxylation coupling (R-R') product of alpha-ketobutyric acid and malic acid(add H+); decarboxylation coupling (RCOOR') product of alpha-ketobutyric acid and 3-hydroxypropionic acid(add H+), with the error of 0.0043."
128.082184,0.03%,"adduct of histamine with OH radical(self), with the error of 0.0008. "
171.102252,0.17%,"adduct of histidine with CH3 radical(add H+), with the error of 0.0013. decarboxylation coupling (RCOOR') product of glyoxylic acid and malonic acid(add K+), with the error of 0.0007.fumaric acid add 1 oxygen(add K+); oxaloacetic acid(add K+), with the error of 0.0017."
204.121694,2.69%,"adduct of histidine with CH3O radical(add NH4+), with the error of 0.0013. reductive amination product of valine and alpha-ketobutyric acid(add H+); reductive amination product of leucine and pyruvic acid(add H+), with the error of 0.0023.decarboxylation coupling (R-R') product of 3-hydroxypropionic acid and tryptophan(self), with the error of 0.0043."
