Mass,Relative%,Description
80.049361,0.08%,"adduct of acetaldehyde with OH radical(add H3O+), with the error of 0.0026. "
61.028349,0.03%,"adduct of acetaldehyde with OH radical(self); decarboxylation product of malonic acid(add H+), with the error of 0.0007. "
73.064723,0.01%,"adduct of acetone with CH3 radical(self), with the error of 0.0013. "
156.041907,0.49%,"adduct of alpha-ketobutyric acid with CH3O radical(add Na+), with the error of 0.0009. decarboxylation coupling (R-R') product of fumaric acid and itaconic acid(self), with the error of 0.0001.adduct of o-phosphorylethanolamine with CH3 radical(self), with the error of 0.0011.decarboxylation coupling (R-R') product of glyoxylic acid and methionine(add Na+), with the error of 0.0031.decarboxylation coupling (R-R') product of alpha-ketobutyric acid and cysteine(add Na+), with the error of 0.0041."
163.075445,0.11%,"adduct of asparagine with CH3O radical(self); adduct of glutamine with OH radical(self); decarboxylation C-N coupling product of fumaric acid and glycine(add NH4+); decarboxylation coupling (RCOOR') product of glycine and fumaric acid(add NH4+), with the error of 0.0034. decarboxylation coupling (R-R') product of 4-pentenoic acid and itaconic acid(add Na+), with the error of 0.0024.decarboxylation C-N coupling product of itaconic acid and urea(add H3O+), with the error of 0.0006.decarboxylation C-N coupling product of methionine and urea(self); decarboxylation coupling (R-R') product of asparagine and cysteine(self), with the error of 0.0016."
149.05985,0.01%,"adduct of asparagine with OH radical(self); decarboxylation C-N coupling product of malic acid and urea(add H+); adduct of threonine with NO radical(self), with the error of 0.0038. decarboxylation coupling (R-R') product of 4-pentenoic acid and fumaric acid(add Na+); adduct of cytosine with CH3 radical(add Na+), with the error of 0.0029.phenylalanine de-NH2 product(self); decarboxylation C-N coupling product of fumaric acid and urea(add H3O+), with the error of 0.0001."
201.101712,0.16%,"adduct of carnitine with OH radical(add Na+); decarboxylation coupling (RCOOR') product of glyoxylic acid and histidine(add NH4+); decarboxylation C-N coupling product of glyoxylic acid and histidine(add NH4+), with the error of 0.0037. reductive amination product of cytosine and pyruvic acid(add NH4+), with the error of 0.0027.decarboxylation C-N coupling product of itaconic acid and valine(self); decarboxylation C-N coupling product of fumaric acid and leucine(self); decarboxylation coupling (RCOOR') product of fumaric acid and leucine(self); decarboxylation coupling (RCOOR') product of itaconic acid and valine(self); decarboxylation coupling (R-R') product of 4-aminobenzoic acid and hydroxyproline(add Na+), with the error of 0.0017.reductive amination product of o-phosphorylethanolamine and acetone(add NH4+), with the error of 0.0007.adduct of oxaloacetic acid with NO radical(add K+), with the error of 0.0003.decarboxylation coupling (R-R') product of methionine and threonine(add Na+), with the error of 0.0013.adduct of phenylalanine with OH radical(add H3O+), with the error of 0.0033."
382.189533,0.35%,"adduct of corticosterone with Cl radical(add H+), with the error of 0.0015. "
217.096607,0.01%,"adduct of galactosamine with CH3 radical(add Na+); adduct of glucosamine with CH3 radical(add Na+), with the error of 0.0036. decarboxylation C-N coupling product of malic acid and cytosine(add NH4+), with the error of 0.0026.decarboxylation C-N coupling product of glycine and phenylalanine(add Na+); decarboxylation C-N coupling product of phenylalanine and glycine(add Na+); decarboxylation C-N coupling product of oxaloacetic acid and leucine(self); decarboxylation C-N coupling product of alpha-ketoglutaric acid and valine(self); decarboxylation coupling (RCOOR') product of oxaloacetic acid and leucine(self); decarboxylation coupling (RCOOR') product of glycine and phenylalanine(add Na+); decarboxylation coupling (RCOOR') product of alpha-ketoglutaric acid and valine(self), with the error of 0.0016.serotonin add H2O(add Na+), with the error of 0.0006.adduct of tyrosine with OH radical(add H3O+), with the error of 0.0034."
113.04767,0.01%,"adduct of glycine with CH3 radical(add Na+), with the error of 0.0017. "
115.026178,0.01%,"adduct of glycine with OH radical(add Na+), with the error of 0.0012. "
110.070945,0.10%,"adduct of glycine with OH radical(add NH4+), with the error of 0.0009. adduct of urea with CH3O radical(add H3O+), with the error of 0.0031."
186.091583,0.66%,"adduct of guanine with OH radical(add NH4+), with the error of 0.0046. adduct of histidine with CH3O radical(self), with the error of 0.0036.decarboxylation coupling (R-R') product of pyruvic acid and phenylalanine(add Na+), with the error of 0.0026.decarboxylation C-N coupling product of alpha-ketobutyric acid and cytosine(add H3O+), with the error of 0.0004.decarboxylation coupling (R-R') product of cysteine and histidine(self), with the error of 0.0014.decarboxylation C-N coupling product of cysteine and histamine(self); adduct of uracil with Cl radical(add K+), with the error of 0.0024."
204.121861,0.08%,"adduct of histidine with CH3O radical(add NH4+), with the error of 0.0011. reductive amination product of valine and alpha-ketobutyric acid(add H+); reductive amination product of leucine and pyruvic acid(add H+), with the error of 0.0021.decarboxylation coupling (R-R') product of 3-hydroxypropionic acid and tryptophan(self), with the error of 0.0041."
174.054926,0.02%,"adduct of hypoxanthine with CH3 radical(add Na+); decarboxylation coupling (R-R') product of 4-aminobenzoic acid and malonic acid(add Na+); decarboxylation coupling (R-R') product of itaconic acid and malic acid(self); decarboxylation coupling (RCOOR') product of 3-hydroxypropionic acid and itaconic acid(self), with the error of 0.0019. "
206.160585,0.04%,"adduct of hypoxanthine with CH3O radical(add K+), with the error of 0.0046. adduct of ornithine with Cl radical(add K+), with the error of 0.0036.reductive amination product of taurine and acetone(add K+), with the error of 0.0006.decarboxylation coupling (R-R') product of asparagine and glutamine(add NH4+), with the error of 0.0004.decarboxylation coupling (R-R') product of arginine and malonic acid(add NH4+), with the error of 0.0014."
150.058243,0.14%,"adduct of malic acid with CH3 radical(add H+), with the error of 0.0042. adduct of fumaric acid with CH3 radical(add H3O+), with the error of 0.0002.methionine(add H+), with the error of 0.0008."
169.075813,0.02%,"adduct of proline with CH3O radical(add Na+); adduct of hydroxyproline with CH3 radical(add Na+), with the error of 0.0038. dopamine add 1 oxygen(self), with the error of 0.0018.adduct of 4-aminobenzoic acid with CH3O radical(add H+), with the error of 0.0008.ribose(add H3O+), with the error of 0.0002.decarboxylation coupling (R-R') product of cysteine and proline(add Na+), with the error of 0.0012.decarboxylation coupling (R-R') product of 4-aminobenzoic acid and cysteine(add H+), with the error of 0.0042."
188.070697,0.92%,"adduct of ribose with CH3 radical(add Na+), with the error of 0.0037. decarboxylation coupling (R-R') product of glyoxylic acid and tyrosine(add Na+); decarboxylation coupling (RCOOR') product of 4-pentenoic acid and malic acid(self), with the error of 0.0027.phenylalanine(add Na+), with the error of 0.0017.decarboxylation C-N coupling product of malonic acid and cytosine(add H3O+); tryptophan de-NH2 product(self), with the error of 0.0003."
214.252578,0.01%,"adduct of spermidine with NO radical(add K+), with the error of 0.0014. decarboxylation coupling (R-R') product of 6-hydroxyoctanoic acid and serine(add K+), with the error of 0.0024."
337.292556,0.17%,"adduct of sphingosine with CH3 radical(add Na+), with the error of 0.0034. "
174.038228,0.03%,"adduct of taurine with NO radical(add H3O+), with the error of 0.0022. guanine(add Na+), with the error of 0.0008."
296.212265,0.02%,"adduct of thymidine with CH3 radical(add K+), with the error of 0.0003. "
128.061624,0.02%,"adduct of uracil with CH3 radical(add H+), with the error of 0.0026. "
91.054037,0.07%,"adduct of urea with CH3O radical(self), with the error of 0.003. "
148.042872,0.02%,"alpha-ketoglutaric acid reductive hydrogenation product(self); adduct of oxaloacetic acid with CH3 radical(add H+); adduct of itaconic acid with OH radical(add H+); itaconic acid add H2O(self); adduct of fumaric acid with CH3O radical(add H+), with the error of 0.0049. decarboxylation coupling (R-R') product of glyoxylic acid and n-acetyl cysteine(add H+), with the error of 0.0009.decarboxylation coupling (R-R') product of cysteine and fumaric acid(add H+), with the error of 0.0001."
176.128336,2.74%,"arginine de-NH2 product(add NH4+), with the error of 0.0003. decarboxylation C-N coupling product of 3-hydroxypropionic acid and leucine(add H+); decarboxylation coupling (RCOOR') product of 3-hydroxypropionic acid and leucine(add H+); decarboxylation coupling (R-R') product of leucine and malic acid(add H+); adduct of carnitine with CH3 radical(self), with the error of 0.0007.decarboxylation coupling (R-R') product of fumaric acid and leucine(add H3O+); decarboxylation coupling (R-R') product of itaconic acid and valine(add H3O+), with the error of 0.0047."
158.091512,0.02%,"arginine de-NH2 product(self), with the error of 0.0015. decarboxylation coupling (R-R') product of glyoxylic acid and histidine(add H3O+), with the error of 0.0045."
158.096614,0.11%,"arginine de-NH2 product(self), with the error of 0.0036. decarboxylation coupling (R-R') product of glyoxylic acid and histidine(add H3O+), with the error of 0.0006.decarboxylation C-N coupling product of glyoxylic acid and histamine(add H3O+), with the error of 0.0004.adduct of choline with Cl radical(add H3O+), with the error of 0.0024."
115.054154,0.10%,"asparagine de-OH product(self), with the error of 0.0042. "
162.112241,10.08%,"carnitine(add H+); decarboxylation coupling (RCOOR') product of 3-hydroxypropionic acid and 4-pentenoic acid(add NH4+); decarboxylation coupling (R-R') product of 4-pentenoic acid and malic acid(add NH4+); decarboxylation C-N coupling product of 3-hydroxypropionic acid and valine(add H+); decarboxylation coupling (R-R') product of malic acid and valine(add H+); reductive amination product of threonine and acetone(add H+); decarboxylation coupling (RCOOR') product of 3-hydroxypropionic acid and valine(add H+), with the error of 0.0008. adduct of leucine with CH3O radical(self), with the error of 0.0018.decarboxylation coupling (R-R') product of 4-aminobenzoic acid and proline(self), with the error of 0.0028.decarboxylation coupling (R-R') product of fumaric acid and valine(add H3O+); decarboxylation coupling (R-R') product of alpha-ketobutyric acid and hydroxyproline(add H3O+), with the error of 0.0048."
105.110334,5.38%,"choline(add H+), with the error of 0.0047. "
104.106603,100.00%,"choline(self), with the error of 0.0004. decarboxylation coupling (R-R') product of glycine and 4-pentenoic acid(add H3O+), with the error of 0.0044."
329.209901,0.02%,"corticosterone de-OH product(self), with the error of 0.0011. "
347.221399,0.39%,"corticosterone(add H+), with the error of 0.0006. "
144.101708,0.02%,"cysteine de-NH2 product(add K+), with the error of 0.0027. adduct of choline with OH radical(add Na+), with the error of 0.0017.decarboxylation coupling (R-R') product of alpha-ketobutyric acid and hydroxyproline(add H+); carnitine de-OH product(self); decarboxylation coupling (R-R') product of fumaric acid and valine(add H+); adduct of cytosine with CH3 radical(add NH4+); decarboxylation coupling (R-R') product of 4-pentenoic acid and fumaric acid(add NH4+), with the error of 0.0003."
95.023709,0.04%,"cytosine de-NH2 product(self), with the error of 0.0003. "
134.032595,0.01%,"cytosine(add Na+), with the error of 0.0004. "
347.326602,0.03%,"decarboxylation C-N coupling product of 12-hydroxystearic acid and glycine(add NH4+); decarboxylation coupling (RCOOR') product of glycine and 12-hydroxystearic acid(add NH4+), with the error of 0.0004. decarboxylation coupling (R-R') product of elaidic acid and histidine(self); decarboxylation coupling (R-R') product of histidine and oleic acid(self), with the error of 0.0024.decarboxylation C-N coupling product of elaidic acid and histamine(self); decarboxylation C-N coupling product of oleic acid and histamine(self), with the error of 0.0034.decarboxylation coupling (R-R') product of 3-hydroxypalmitic acid and glutamine(add H3O+); decarboxylation C-N coupling product of glycine and sphingosine(add H3O+), with the error of 0.0044."
382.295034,0.06%,"decarboxylation C-N coupling product of 12-hydroxystearic acid and serine(add Na+); decarboxylation coupling (RCOOR') product of 12-hydroxystearic acid and serine(add Na+), with the error of 0.002. decarboxylation C-N coupling product of 3-hydroxypalmitic acid and 4-aminobenzoic acid(add H3O+); decarboxylation coupling (RCOOR') product of 4-aminobenzoic acid and 3-hydroxypalmitic acid(add H3O+), with the error of 0.005."
355.303578,0.19%,"decarboxylation C-N coupling product of 3-hydroxypalmitic acid and cytosine(add NH4+), with the error of 0.0034. decarboxylation coupling (RCOOR') product of elaidic acid and threonine(self); decarboxylation C-N coupling product of oleic acid and threonine(self); decarboxylation coupling (RCOOR') product of oleic acid and threonine(self); decarboxylation C-N coupling product of alpha-ketobutyric acid and sphingosine(self); decarboxylation C-N coupling product of elaidic acid and threonine(self), with the error of 0.0044."
340.358139,0.01%,"decarboxylation C-N coupling product of 3-hydroxypalmitic acid and glycine(add K+); decarboxylation coupling (RCOOR') product of glycine and 3-hydroxypalmitic acid(add K+), with the error of 0.0009. "
368.277612,0.01%,"decarboxylation C-N coupling product of 3-hydroxypalmitic acid and threonine(add Na+); decarboxylation coupling (RCOOR') product of 3-hydroxypalmitic acid and threonine(add Na+), with the error of 0.0006. "
304.299647,0.57%,"decarboxylation C-N coupling product of 3-hydroxypalmitic acid and urea(add NH4+), with the error of 0.0036. "
344.316886,0.01%,"decarboxylation C-N coupling product of 3-hydroxypalmitic acid and valine(add H+); decarboxylation C-N coupling product of 3-hydroxypropionic acid and sphingosine(add H+); decarboxylation coupling (RCOOR') product of 3-hydroxypalmitic acid and valine(add H+); decarboxylation coupling (RCOOR') product of 3-hydroxypalmitic acid and 4-pentenoic acid(add NH4+); decarboxylation coupling (R-R') product of 12-hydroxystearic acid and fumaric acid(add NH4+), with the error of 0.0009. decarboxylation coupling (R-R') product of malic acid and oleic acid(add NH4+); decarboxylation coupling (R-R') product of elaidic acid and malic acid(add NH4+); decarboxylation coupling (RCOOR') product of 3-hydroxypropionic acid and oleic acid(add NH4+); decarboxylation coupling (RCOOR') product of 3-hydroxypropionic acid and elaidic acid(add NH4+), with the error of 0.0001."
366.299235,0.02%,"decarboxylation C-N coupling product of 3-hydroxypalmitic acid and valine(add Na+); decarboxylation coupling (RCOOR') product of 3-hydroxypalmitic acid and valine(add Na+); decarboxylation C-N coupling product of 3-hydroxypropionic acid and sphingosine(add Na+), with the error of 0.0012. "
174.091279,0.38%,"decarboxylation C-N coupling product of 3-hydroxypropionic acid and cytosine(add H3O+); histidine(add H3O+), with the error of 0.0007. decarboxylation coupling (R-R') product of 4-pentenoic acid and n-acetyl cysteine(add H+), with the error of 0.0027."
120.065534,0.02%,"decarboxylation C-N coupling product of 3-hydroxypropionic acid and glycine(add H+); decarboxylation coupling (R-R') product of malonic acid and serine(add H+); decarboxylation coupling (RCOOR') product of glycine and 3-hydroxypropionic acid(add H+); decarboxylation coupling (R-R') product of glycine and malic acid(add H+); decarboxylation coupling (R-R') product of pyruvic acid and malonic acid(add NH4+); threonine(add H+), with the error of 0.0005. carnitine de-trimethylamine product(add NH4+); alpha-ketobutyric acid(add NH4+); decarboxylation product of alpha-ketoglutaric acid(add NH4+); adduct of serine with CH3 radical(self), with the error of 0.0015.decarboxylation coupling (R-R') product of glycine and fumaric acid(add H3O+), with the error of 0.0045."
213.074167,0.01%,"decarboxylation C-N coupling product of 4-aminobenzoic acid and cysteine(add H+); decarboxylation coupling (RCOOR') product of 4-aminobenzoic acid and cysteine(add H+); decarboxylation C-N coupling product of cysteine and 4-aminobenzoic acid(add H+), with the error of 0.0042. adduct of n-acetyl cysteine with CH3O radical(add H3O+), with the error of 0.0022.decarboxylation C-N coupling product of malonic acid and histidine(self); decarboxylation coupling (RCOOR') product of histidine and malonic acid(self), with the error of 0.0002.decarboxylation coupling (R-R') product of cysteine and n-acetyl cysteine(add H3O+), with the error of 0.0028."
243.182878,0.80%,"decarboxylation C-N coupling product of 6-hydroxyoctanoic acid and cytosine(add NH4+), with the error of 0.0009. decarboxylation C-N coupling product of glyoxylic acid and serotonin(add K+), with the error of 0.0041."
293.186717,0.02%,"decarboxylation C-N coupling product of 6-hydroxyoctanoic acid and glucosamine(self); decarboxylation C-N coupling product of 6-hydroxyoctanoic acid and galactosamine(self), with the error of 0.0037. decarboxylation coupling (RCOOR') product of arginine and phenylalanine(self); decarboxylation C-N coupling product of phenylalanine and arginine(self); decarboxylation C-N coupling product of arginine and phenylalanine(self), with the error of 0.0017.decarboxylation C-N coupling product of cysteine and galactosamine(add K+); decarboxylation C-N coupling product of cysteine and glucosamine(add K+), with the error of 0.0043."
278.20765,0.02%,"decarboxylation C-N coupling product of 6-hydroxyoctanoic acid and glutamine(add NH4+); decarboxylation coupling (RCOOR') product of 6-hydroxyoctanoic acid and glutamine(add NH4+), with the error of 0.0004. "
280.195426,0.02%,"decarboxylation C-N coupling product of 6-hydroxyoctanoic acid and phenylalanine(add H+); decarboxylation coupling (RCOOR') product of 6-hydroxyoctanoic acid and phenylalanine(add H+), with the error of 0.0044. reductive amination product of spermidine and oxaloacetic acid(add H3O+), with the error of 0.0034.decarboxylation C-N coupling product of malic acid and dopamine(add K+), with the error of 0.0024."
282.255291,0.02%,"decarboxylation C-N coupling product of 6-hydroxyoctanoic acid and spermidine(add Na+), with the error of 0.0033. elaidic acid(self); oleic acid(self), with the error of 0.0007."
168.080482,0.02%,"decarboxylation C-N coupling product of alpha-ketobutyric acid and cytosine(add H+), with the error of 0.0035. adduct of threonine with NO radical(add H3O+); adduct of asparagine with OH radical(add H3O+), with the error of 0.0015.decarboxylation C-N coupling product of glycine and cysteine(add NH4+); decarboxylation C-N coupling product of cysteine and glycine(add NH4+); decarboxylation coupling (RCOOR') product of glycine and cysteine(add NH4+), with the error of 0.0005.phenylalanine de-NH2 product(add H3O+), with the error of 0.0025."
200.067501,0.04%,"decarboxylation C-N coupling product of alpha-ketobutyric acid and taurine(add H3O+), with the error of 0.0035. decarboxylation C-N coupling product of malic acid and cytosine(add H+), with the error of 0.0005.decarboxylation coupling (RCOOR') product of alpha-ketoglutaric acid and 4-pentenoic acid(self), with the error of 0.0005.decarboxylation coupling (R-R') product of 4-aminobenzoic acid and itaconic acid(add Na+), with the error of 0.0015.adduct of guanine with NO radical(add H3O+), with the error of 0.0025.decarboxylation C-N coupling product of fumaric acid and cytosine(add H3O+), with the error of 0.0035."
229.096951,0.01%,"decarboxylation C-N coupling product of alpha-ketoglutaric acid and cytosine(add NH4+), with the error of 0.003. decarboxylation coupling (RCOOR') product of 4-aminobenzoic acid and proline(add Na+); decarboxylation C-N coupling product of proline and 4-aminobenzoic acid(add Na+), with the error of 0.002.decarboxylation C-N coupling product of asparagine and taurine(add NH4+), with the error of 0.0.decarboxylation coupling (RCOOR') product of 4-aminobenzoic acid and 4-aminobenzoic acid(add H+); decarboxylation C-N coupling product of 4-aminobenzoic acid and 4-aminobenzoic acid(add H+), with the error of 0.001.adduct of serotonin with Cl radical(add NH4+); decarboxylation C-N coupling product of cysteine and leucine(add Na+); decarboxylation C-N coupling product of leucine and cysteine(add Na+); decarboxylation coupling (RCOOR') product of cysteine and leucine(add Na+); decarboxylation C-N coupling product of proline and o-phosphorylethanolamine(add H3O+), with the error of 0.002.decarboxylation C-N coupling product of cysteine and dopamine(add H+), with the error of 0.004."
246.18242,0.05%,"decarboxylation C-N coupling product of alpha-ketoglutaric acid and spermidine(add H+), with the error of 0.0004. decarboxylation coupling (R-R') product of ornithine and tryptophan(self), with the error of 0.0016.decarboxylation coupling (R-R') product of fumaric acid and tyrosine(add K+); decarboxylation C-N coupling product of pyruvic acid and phenylalanine(add K+); decarboxylation coupling (RCOOR') product of pyruvic acid and phenylalanine(add K+); decarboxylation coupling (R-R') product of oxaloacetic acid and phenylalanine(add K+), with the error of 0.0046."
313.272403,0.01%,"decarboxylation C-N coupling product of arginine and glutamine(add K+); decarboxylation coupling (RCOOR') product of arginine and glutamine(add K+); decarboxylation C-N coupling product of glutamine and arginine(add K+), with the error of 0.0006. decarboxylation coupling (R-R') product of 3-hydroxypalmitic acid and itaconic acid(add H+), with the error of 0.0016.adduct of elaidic acid with CH3O radical(self); adduct of oleic acid with CH3O radical(self), with the error of 0.0026."
274.273658,0.07%,"decarboxylation C-N coupling product of arginine and spermidine(add H+), with the error of 0.0017. decarboxylation coupling (R-R') product of glyoxylic acid and 3-hydroxypalmitic acid(add NH4+), with the error of 0.0003."
312.361169,0.07%,"decarboxylation C-N coupling product of arginine and spermidine(add K+), with the error of 0.0008. "
283.152038,0.20%,"decarboxylation C-N coupling product of asparagine and arginine(add Na+); decarboxylation coupling (RCOOR') product of arginine and asparagine(add Na+); decarboxylation C-N coupling product of arginine and asparagine(add Na+), with the error of 0.003. reductive amination product of galactosamine and alpha-ketobutyric acid(add NH4+); decarboxylation product of n-acetyl neuraminic acid(add NH4+); reductive amination product of glucosamine and alpha-ketobutyric acid(add NH4+), with the error of 0.001.decarboxylation coupling (R-R') product of glutamine and tryptophan(add Na+), with the error of 0.001.decarboxylation C-N coupling product of hydroxyproline and glucosamine(add H3O+); decarboxylation C-N coupling product of hydroxyproline and galactosamine(add H3O+), with the error of 0.002.decarboxylation C-N coupling product of histidine and histidine(add H3O+); decarboxylation coupling (RCOOR') product of histidine and histidine(add H3O+), with the error of 0.003."
284.153445,0.01%,"decarboxylation C-N coupling product of asparagine and glucosamine(add H3O+); decarboxylation C-N coupling product of asparagine and galactosamine(add H3O+), with the error of 0.0044. decarboxylation C-N coupling product of phenylalanine and phenylalanine(self); decarboxylation coupling (RCOOR') product of phenylalanine and phenylalanine(self), with the error of 0.0014."
146.081427,0.05%,"decarboxylation C-N coupling product of asparagine and urea(self), with the error of 0.0024. decarboxylation coupling (RCOOR') product of glyoxylic acid and 4-pentenoic acid(add NH4+); decarboxylation coupling (R-R') product of hydroxyproline and malonic acid(add H+); adduct of cytosine with OH radical(add NH4+); decarboxylation coupling (RCOOR') product of glyoxylic acid and valine(add H+); decarboxylation coupling (R-R') product of fumaric acid and threonine(add H+); decarboxylation C-N coupling product of glyoxylic acid and valine(add H+), with the error of 0.0004.adduct of hydroxyproline with CH3 radical(self); decarboxylation coupling (R-R') product of itaconic acid and serine(add H+); adduct of proline with CH3O radical(self); decarboxylation coupling (R-R') product of alpha-ketobutyric acid and fumaric acid(add NH4+); decarboxylation coupling (R-R') product of pyruvic acid and itaconic acid(add NH4+), with the error of 0.0006."
158.039654,0.01%,"decarboxylation C-N coupling product of cysteine and urea(add Na+), with the error of 0.0037. adenine(add Na+), with the error of 0.0043."
376.297375,0.01%,"decarboxylation C-N coupling product of elaidic acid and cysteine(add H3O+); decarboxylation C-N coupling product of oleic acid and cysteine(add H3O+); decarboxylation coupling (RCOOR') product of cysteine and oleic acid(add H3O+); decarboxylation coupling (RCOOR') product of cysteine and elaidic acid(add H3O+), with the error of 0.0044. "
220.096786,0.02%,"decarboxylation C-N coupling product of fumaric acid and asparagine(add NH4+); decarboxylation coupling (RCOOR') product of asparagine and fumaric acid(add NH4+), with the error of 0.0038. decarboxylation C-N coupling product of 3-hydroxypropionic acid and dopamine(add Na+), with the error of 0.0018."
268.11083,0.03%,"decarboxylation C-N coupling product of fumaric acid and galactosamine(add H3O+); decarboxylation C-N coupling product of fumaric acid and glucosamine(add H3O+), with the error of 0.0038. reductive amination product of threonine and alpha-ketoglutaric acid(add H3O+), with the error of 0.0028.decarboxylation coupling (R-R') product of 4-pentenoic acid and cystine(add NH4+); decarboxylation coupling (R-R') product of cystine and valine(add H+), with the error of 0.0042."
267.11823,0.03%,"decarboxylation C-N coupling product of fumaric acid and glucosamine(add NH4+); decarboxylation C-N coupling product of fumaric acid and galactosamine(add NH4+), with the error of 0.0008. reductive amination product of threonine and alpha-ketoglutaric acid(add NH4+), with the error of 0.0018.decarboxylation coupling (RCOOR') product of asparagine and tyrosine(self); decarboxylation C-N coupling product of tyrosine and asparagine(self); decarboxylation C-N coupling product of asparagine and tyrosine(self); decarboxylation coupling (RCOOR') product of 6-hydroxyoctanoic acid and itaconic acid(add Na+), with the error of 0.0028."
146.042913,0.05%,"decarboxylation C-N coupling product of fumaric acid and glycine(add H+); decarboxylation coupling (RCOOR') product of glycine and fumaric acid(add H+), with the error of 0.0021. "
392.197865,0.06%,"decarboxylation C-N coupling product of fumaric acid and guanosine(add K+), with the error of 0.0029. "
370.293398,0.03%,"decarboxylation C-N coupling product of fumaric acid and sphingosine(add H+), with the error of 0.0016. decarboxylation coupling (RCOOR') product of fumaric acid and oleic acid(add NH4+); decarboxylation coupling (RCOOR') product of elaidic acid and fumaric acid(add NH4+), with the error of 0.0026."
292.132952,0.03%,"decarboxylation C-N coupling product of fumaric acid and tryptophan(add NH4+); decarboxylation coupling (RCOOR') product of fumaric acid and tryptophan(add NH4+), with the error of 0.003. adduct of thymidine with CH3O radical(add H3O+), with the error of 0.001."
226.180507,0.01%,"decarboxylation C-N coupling product of fumaric acid and valine(add K+); decarboxylation coupling (R-R') product of alpha-ketoglutaric acid and hydroxyproline(add K+); decarboxylation coupling (RCOOR') product of fumaric acid and valine(add K+); decarboxylation coupling (RCOOR') product of alpha-ketobutyric acid and hydroxyproline(add K+), with the error of 0.0015. decarboxylation coupling (R-R') product of 4-aminobenzoic acid and 6-hydroxyoctanoic acid(add H3O+), with the error of 0.0045."
229.142943,0.02%,"decarboxylation C-N coupling product of glutamine and cytosine(add NH4+), with the error of 0.0019. decarboxylation coupling (RCOOR') product of alpha-ketobutyric acid and malic acid(add K+); decarboxylation coupling (R-R') product of alpha-ketoglutaric acid and malic acid(add K+); decarboxylation coupling (RCOOR') product of alpha-ketoglutaric acid and 3-hydroxypropionic acid(add K+), with the error of 0.0031."
247.140305,0.03%,"decarboxylation C-N coupling product of glutamine and glutamine(add H+); decarboxylation coupling (RCOOR') product of glutamine and glutamine(add H+), with the error of 0.0003. reductive amination product of arginine and pyruvic acid(add H+), with the error of 0.0007.decarboxylation C-N coupling product of valine and dopamine(add Na+), with the error of 0.0017.decarboxylation C-N coupling product of threonine and histidine(add H3O+); decarboxylation C-N coupling product of histidine and threonine(add H3O+); decarboxylation coupling (RCOOR') product of histidine and threonine(add H3O+), with the error of 0.0037.reductive amination product of tryptophan and acetone(add H+), with the error of 0.0047."
